"No.","Time","Source","Destination","Protocol","Length","Info"
"1501","5.688916","172.18.0.3","172.18.0.2","TCP","1520","54952  >  5000 [ACK] Seq=11732 Ack=1 Win=64256 Len=1448 TSval=805182080 TSecr=837618511"
"1502","5.698966","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=148 Win=65024 Len=0 TSval=837618522 TSecr=805182080"
"1503","5.698970","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=3044 Win=70912 Len=0 TSval=837618522 TSecr=805182080"
"1504","5.698971","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=5940 Win=76672 Len=0 TSval=837618522 TSecr=805182080"
"1505","5.698971","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=7388 Win=79616 Len=0 TSval=837618522 TSecr=805182080"
"1506","5.698971","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=10284 Win=85376 Len=0 TSval=837618522 TSecr=805182080"
"1507","5.698972","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=11732 Win=88192 Len=0 TSval=837618522 TSecr=805182080"
"1508","5.698972","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=13180 Win=91136 Len=0 TSval=837618522 TSecr=805182080"
"1509","5.699054","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=13180 Ack=1 Win=64256 Len=2896 TSval=805182090 TSecr=837618522"
"1510","5.699090","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=16076 Ack=1 Win=64256 Len=2896 TSval=805182090 TSecr=837618522"
"1511","5.699108","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=18972 Ack=1 Win=64256 Len=2896 TSval=805182090 TSecr=837618522"
"1512","5.699113","172.18.0.3","172.18.0.2","TCP","4416","54952  >  5000 [PSH, ACK] Seq=21868 Ack=1 Win=64256 Len=4344 TSval=805182090 TSecr=837618522"
"1513","5.699118","172.18.0.3","172.18.0.2","TCP","4416","54952  >  5000 [PSH, ACK] Seq=26212 Ack=1 Win=64256 Len=4344 TSval=805182090 TSecr=837618522"
"1514","5.699123","172.18.0.3","172.18.0.2","TCP","4416","54952  >  5000 [PSH, ACK] Seq=30556 Ack=1 Win=64256 Len=4344 TSval=805182090 TSecr=837618522"
"1515","5.699126","172.18.0.3","172.18.0.2","TCP","4416","54952  >  5000 [PSH, ACK] Seq=34900 Ack=1 Win=64256 Len=4344 TSval=805182090 TSecr=837618522"
"1516","5.699130","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=39244 Ack=1 Win=64256 Len=2896 TSval=805182090 TSecr=837618522"
"1517","5.709187","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=16076 Win=96896 Len=0 TSval=837618532 TSecr=805182090"
"1518","5.709191","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=18972 Win=94080 Len=0 TSval=837618532 TSecr=805182090"
"1519","5.709192","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=21868 Win=91264 Len=0 TSval=837618532 TSecr=805182090"
"1520","5.709192","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=26212 Win=87296 Len=0 TSval=837618532 TSecr=805182090"
"1521","5.709192","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=30556 Win=83200 Len=0 TSval=837618532 TSecr=805182090"
"1522","5.709193","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=34900 Win=78976 Len=0 TSval=837618532 TSecr=805182090"
"1523","5.709193","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=39244 Win=74752 Len=0 TSval=837618532 TSecr=805182090"
"1524","5.709193","172.18.0.2","172.18.0.3","TCP","72","5000  >  54952 [ACK] Seq=1 Ack=42140 Win=71936 Len=0 TSval=837618532 TSecr=805182090"
"1525","5.709287","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=42140 Ack=1 Win=64256 Len=2896 TSval=805182100 TSecr=837618532"
"1526","5.709329","172.18.0.3","172.18.0.2","IPA","5864","IPA unknown 0xb7 "
"1527","5.709332","172.18.0.3","172.18.0.2","TCP","5864","54952  >  5000 [PSH, ACK] Seq=50828 Ack=1 Win=64256 Len=5792 TSval=805182100 TSecr=837618532"
"1528","5.709348","172.18.0.3","172.18.0.2","TCP","7312","54952  >  5000 [PSH, ACK] Seq=56620 Ack=1 Win=64256 Len=7240 TSval=805182100 TSecr=837618532"
"1529","5.709351","172.18.0.3","172.18.0.2","TCP","10208","54952  >  5000 [PSH, ACK] Seq=63860 Ack=1 Win=64256 Len=10136 TSval=805182100 TSecr=837618532"
"1530","5.709381","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=73996 Ack=1 Win=64256 Len=2896 TSval=805182100 TSecr=837618532"
"1531","5.709385","172.18.0.3","172.18.0.2","TCP","10208","54952  >  5000 [PSH, ACK] Seq=76892 Ack=1 Win=64256 Len=10136 TSval=805182100 TSecr=837618532"
"1532","5.709388","172.18.0.3","172.18.0.2","TCP","10208","54952  >  5000 [PSH, ACK] Seq=87028 Ack=1 Win=64256 Len=10136 TSval=805182100 TSecr=837618532"
