"No.","Time","Source","Destination","Protocol","Length","Info"
"3721","11.028113","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=586588 Win=902528 Len=0 TSval=838565383 TSecr=806128941"
"3722","11.028114","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=601068 Win=931456 Len=0 TSval=838565383 TSecr=806128941"
"3723","11.028115","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=608308 Win=945920 Len=0 TSval=838565383 TSecr=806128941"
"3724","11.028128","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=615548 Win=960384 Len=0 TSval=838565383 TSecr=806128941"
"3725","11.028145","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=622788 Win=974848 Len=0 TSval=838565383 TSecr=806128941"
"3726","11.028162","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=630028 Win=989312 Len=0 TSval=838565383 TSecr=806128941"
"3727","11.028168","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=637268 Win=1003776 Len=0 TSval=838565383 TSecr=806128941"
"3728","11.028173","172.18.0.3","172.18.0.2","TCP","10208","42114  >  5000 [PSH, ACK] Seq=948588 Ack=1 Win=64256 Len=10136 TSval=806129041 TSecr=838565382"
"3729","11.028197","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=651748 Win=1032832 Len=0 TSval=838565383 TSecr=806128941"
"3730","11.028201","172.18.0.3","172.18.0.2","RSL","10208","unknown 14 "
"3731","11.028236","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=658988 Win=1047296 Len=0 TSval=838565383 TSecr=806128941"
"3732","11.028238","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=666228 Win=1061760 Len=0 TSval=838565383 TSecr=806128941"
"3733","11.028254","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=673468 Win=1076224 Len=0 TSval=838565383 TSecr=806128941"
"3734","11.028260","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=680708 Win=1090688 Len=0 TSval=838565383 TSecr=806128941"
"3735","11.028477","172.18.0.3","172.18.0.2","TCP","10208","42114  >  5000 [PSH, ACK] Seq=968860 Ack=1 Win=64256 Len=10136 TSval=806129041 TSecr=838565383"
"3736","11.028485","172.18.0.3","172.18.0.2","TCP","10208","42114  >  5000 [PSH, ACK] Seq=978996 Ack=1 Win=64256 Len=10136 TSval=806129041 TSecr=838565383"
"3737","11.028517","172.18.0.3","172.18.0.2","TCP","10208","42114  >  5000 [PSH, ACK] Seq=989132 Ack=1 Win=64256 Len=10136 TSval=806129041 TSecr=838565383"
"3738","11.028524","172.18.0.3","172.18.0.2","TCP","13104","42114  >  5000 [PSH, ACK] Seq=999268 Ack=1 Win=64256 Len=13032 TSval=806129041 TSecr=838565383"
"3739","11.028562","172.18.0.3","172.18.0.2","RSL","1520","ESTablish INDication "
"3740","11.028569","172.18.0.3","172.18.0.2","TCP","13104","42114  >  5000 [PSH, ACK] Seq=1013748 Ack=1 Win=64256 Len=13032 TSval=806129041 TSecr=838565383"
"3741","11.028576","172.18.0.3","172.18.0.2","TCP","13104","42114  >  5000 [PSH, ACK] Seq=1026780 Ack=1 Win=64256 Len=13032 TSval=806129041 TSecr=838565383"
"3742","11.028658","172.18.0.3","172.18.0.2","TCP","8984","42114  >  5000 [PSH, ACK] Seq=1039812 Ack=1 Win=64256 Len=8912 TSval=806129041 TSecr=838565383"
"3743","11.028670","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=695188 Win=1119616 Len=0 TSval=838565383 TSecr=806128941"
"3744","11.028672","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=702428 Win=1134208 Len=0 TSval=838565383 TSecr=806128941"
"3745","11.028673","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=709668 Win=1148672 Len=0 TSval=838565383 TSecr=806128941"
"3746","11.028674","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=716908 Win=1163136 Len=0 TSval=838565383 TSecr=806128941"
"3747","11.028740","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=724148 Win=1177600 Len=0 TSval=838565383 TSecr=806128941"
"3748","11.028742","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=738628 Win=1198336 Len=0 TSval=838565384 TSecr=806128941"
"3749","11.028854","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=767588 Win=1171328 Len=0 TSval=838565384 TSecr=806128941"
"3750","11.028933","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=803788 Win=1150592 Len=0 TSval=838565384 TSecr=806128941"
"3751","11.029163","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=876188 Win=1096576 Len=0 TSval=838565384 TSecr=806128942"
"3752","11.029215","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=908044 Win=1073536 Len=0 TSval=838565384 TSecr=806128942"
"3753","11.127617","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=916732 Win=1215744 Len=0 TSval=838565482 TSecr=806129040"
"3754","11.127954","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=934108 Win=1250432 Len=0 TSval=838565483 TSecr=806129040"
"3755","11.127959","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=942796 Win=1267840 Len=0 TSval=838565483 TSecr=806129040"
"3756","11.128270","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=948588 Win=1279488 Len=0 TSval=838565483 TSecr=806129041"
"3757","11.128278","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=958724 Win=1299712 Len=0 TSval=838565483 TSecr=806129041"
"3758","11.128285","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=968860 Win=1319936 Len=0 TSval=838565483 TSecr=806129041"
"3759","11.128863","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=978996 Win=1340288 Len=0 TSval=838565484 TSecr=806129041"
"3760","11.128866","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=989132 Win=1360512 Len=0 TSval=838565484 TSecr=806129041"
"3761","11.128867","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=999268 Win=1380864 Len=0 TSval=838565484 TSecr=806129041"
"3762","11.128868","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=1012300 Win=1406848 Len=0 TSval=838565484 TSecr=806129041"
"3763","11.128868","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=1026780 Win=1435776 Len=0 TSval=838565484 TSecr=806129041"
"3764","11.128869","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=1039812 Win=1461888 Len=0 TSval=838565484 TSecr=806129041"
"3765","11.128870","172.18.0.2","172.18.0.3","TCP","72","5000  >  42114 [ACK] Seq=1 Ack=1048724 Win=1479680 Len=0 TSval=838565484 TSecr=806129041"
"3766","11.141490","172.18.0.2","172.18.0.3","TCP","160","5000  >  42114 [PSH, ACK] Seq=1 Ack=1048724 Win=1479680 Len=88 TSval=838565496 TSecr=806129041"
"3767","11.141697","172.18.0.3","172.18.0.2","TCP","72","42114  >  5000 [ACK] Seq=1048724 Ack=89 Win=64256 Len=0 TSval=806129154 TSecr=838565496"
"3768","11.143278","172.18.0.3","172.18.0.2","TCP","72","42114  >  5000 [FIN, ACK] Seq=1048724 Ack=89 Win=64256 Len=0 TSval=806129156 TSecr=838565496"
"3769","11.243409","172.18.0.2","172.18.0.3","TCP","72","[TCP Previous segment not captured] 5000  >  42114 [ACK] Seq=90 Ack=1048725 Win=1479680 Len=0 TSval=838565598 TSecr=806129156"
"3770","11.497120","172.18.0.3","172.18.0.2","TCP","80","42124  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=806129510 TSecr=0 WS=128"
"3771","11.597200","172.18.0.2","172.18.0.3","TCP","80","5000  >  42124 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=838565952 TSecr=806129510 WS=128"
"3772","11.597315","172.18.0.3","172.18.0.2","TCP","72","42124  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=806129610 TSecr=838565952"
"3773","11.597713","172.18.0.3","172.18.0.2","TCP","219","42124  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=147 TSval=806129610 TSecr=838565952"
"3774","11.597829","172.18.0.3","172.18.0.2","TCP","2968","42124  >  5000 [PSH, ACK] Seq=148 Ack=1 Win=64256 Len=2896 TSval=806129611 TSecr=838565952"
"3775","11.597857","172.18.0.3","172.18.0.2","RSL","2968","HANDOver DETection "
"3776","11.597868","172.18.0.3","172.18.0.2","IPA","1520","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"3777","11.597882","172.18.0.3","172.18.0.2","RSL","2968","RELease INDication "
"3778","11.597891","172.18.0.3","172.18.0.2","TCP","1520","42124  >  5000 [ACK] Seq=10284 Ack=1 Win=64256 Len=1448 TSval=806129611 TSecr=838565952"
"3779","11.597904","172.18.0.3","172.18.0.2","TCP","1520","42124  >  5000 [ACK] Seq=11732 Ack=1 Win=64256 Len=1448 TSval=806129611 TSecr=838565952"
